0,0,0,#21918c
15,0,0.2588,#41ae76
30,0,0.5,#5ec962
45,0,0.7071,#a0d549
60,0,0.866,#d2df35
75,0,0.9659,#f2e529
90,0,1,#fde725
105,0,0.9659,#f2e529
120,0,0.866,#d2df35
135,0,0.7071,#a0d549
150,0,0.5,#5ec962
165,0,0.2588,#41ae76
180,0,0,#21918c
195,0,-0.2588,#2e708b
210,0,-0.5,#3b528b
225,0,-0.7071,#3f3074
240,0,-0.866,#421763
255,0,-0.9659,#430758
270,0,-1,#440154
285,0,-0.9659,#430758
300,0,-0.866,#421763
315,0,-0.7071,#3f3074
330,0,-0.5,#3b528b
345,0,-0.2588,#2e708b
360,0,0,#21918c

0,1,0.4794,#5bc764
15,1,0.6902,#9ad44b
30,1,0.854,#cfde37
45,1,0.9595,#f0e52a
60,1,0.9997,#fde725
75,1,0.9718,#f4e528
90,1,0.8776,#d6e034
105,1,0.7236,#a5d647
120,1,0.5203,#64ca60
135,1,0.2815,#43b174
150,1,0.0236,#24948a
165,1,-0.236,#2d738c
180,1,-0.4794,#3a558b
195,1,-0.6902,#3e3376
210,1,-0.854,#411964
225,1,-0.9595,#430858
240,1,-0.9997,#440154
255,1,-0.9718,#430657
270,1,-0.8776,#421561
285,1,-0.7236,#3f2e72
300,1,-0.5203,#3b4f89
315,1,-0.2815,#306e8b
330,1,-0.0236,#228e8c
345,1,0.236,#3eab78
360,1,0.4794,#5bc764

0,2,0.8415,#cbdd38
15,2,0.9526,#eee42b
30,2,0.9989,#fde725
45,2,0.9771,#f6e628
60,2,0.8887,#dae033
75,2,0.7397,#aad745
90,2,0.5403,#6bcb5d
105,2,0.3041,#46b372
120,2,0.0472,#279688
135,2,-0.213,#2c768c
150,2,-0.4586,#39578b
165,2,-0.673,#3e3678
180,2,-0.8415,#411b65
195,2,-0.9526,#430959
210,2,-0.9989,#440154
225,2,-0.9771,#440557
240,2,-0.8887,#421360
255,2,-0.7397,#3f2b71
270,2,-0.5403,#3c4b87
285,2,-0.3041,#316b8b
300,2,-0.0472,#238b8c
315,2,0.213,#3ba97a
330,2,0.4586,#59c465
345,2,0.673,#95d34d
360,2,0.8415,#cbdd38

0,3,0.9975,#fce725
15,3,0.9818,#f7e627
30,3,0.8992,#dde131
45,3,0.7554,#afd843
60,3,0.56,#71cd5b
75,3,0.3265,#49b671
90,3,0.0707,#2a9986
105,3,-0.1898,#2b798c
120,3,-0.4375,#385a8b
135,3,-0.6553,#3e397a
150,3,-0.8285,#411d67
165,3,-0.9452,#430a5a
180,3,-0.9975,#440154
195,3,-0.9818,#440456
210,3,-0.8992,#42115f
225,3,-0.7554,#40296f
240,3,-0.56,#3c4884
255,3,-0.3265,#32688b
270,3,-0.0707,#25888c
285,3,0.1898,#38a67c
300,3,0.4375,#56c267
315,3,0.6553,#8fd24f
330,3,0.8285,#c6dd3a
345,3,0.9452,#ece42c
360,3,0.9975,#fce725

0,4,0.9093,#e0e230
15,4,0.7706,#b4d941
30,4,0.5794,#77ce58
45,4,0.3487,#4cb86f
60,4,0.0943,#2c9c84
75,4,-0.1666,#2a7c8c
90,4,-0.4161,#375d8b
105,4,-0.6373,#3d3c7c
120,4,-0.815,#411f68
135,4,-0.9372,#430b5b
150,4,-0.9955,#440254
165,4,-0.986,#440356
180,4,-0.9093,#42105e
195,4,-0.7706,#40266d
210,4,-0.5794,#3c4582
225,4,-0.3487,#33658b
240,4,-0.0943,#26858c
255,4,0.1666,#35a47e
270,4,0.4161,#54c069
285,4,0.6373,#8ad151
300,4,0.815,#c2dc3c
315,4,0.9372,#e9e32d
330,4,0.9955,#fce726
345,4,0.986,#f9e627
360,4,0.9093,#e0e230

0,5,0.5985,#7dcf56
15,5,0.3707,#4ebb6d
30,5,0.1177,#2f9e82
45,5,-0.1433,#287f8c
60,5,-0.3946,#365f8b
75,5,-0.6189,#3d3f7e
90,5,-0.8011,#40216a
105,5,-0.9287,#430d5c
120,5,-0.993,#440255
135,5,-0.9897,#440355
150,5,-0.9189,#430e5d
165,5,-0.7854,#40246c
180,5,-0.5985,#3d4280
195,5,-0.3707,#34628b
210,5,-0.1177,#27828c
225,5,0.1433,#32a180
240,5,0.3946,#51bd6b
255,5,0.6189,#84d053
270,5,0.8011,#bedb3d
285,5,0.9287,#e6e32e
300,5,0.993,#fbe726
315,5,0.9897,#fae626
